Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202 000 000 236,00;3;922;-1;N/A;3;2;0;3;45;200;1;;-1;1;0;1;80
202 000 000 237,00;3;215;0;D;2;2;0;2;8;0;1;;-1;8;0;1;50
202 000 000 238,00;3;48;0;N/A;2;2;0;2;1;500;2;;-1;2;0;1;90
202 000 000 239,00;3;33;0;N/A;2;2;0;2;2;230;3;;-1;2;0;3;80
202 000 000 240,00;3;774;-1;N/A;2;2;0;1;16;800;1;;-1;1;0;1;80
202 000 000 241,00;3;49;-1;N/A;2;1;0;2;14;890;1;;-1;1;0;1;80
202 000 000 242,00;3;920;-1;N/A;2;2;0;2;0;250;2;;-1;1;0;1;50
202 000 000 243,00;4;Avenue du Truc Vert;0;N/A;2;2;2;1;-1;-1;2;;-1;2;0;5;50
202 000 000 244,00;3;955;-1;N/A;2;2;0;1;46;816;2;;-1;1;0;1;50
202 000 000 245,00;3;710;-1;N/A;2;2;0;1;3;800;3;;-1;1;0;8;50
202 000 000 246,00;3;38;-1;N/A;2;2;0;3;22;-1;3;;-1;2;0;1;80
202 000 000 247,00;3;15;-1;N/A;2;2;0;1;36;370;2;;-1;1;0;3;90
202 000 000 248,00;3;909;0;N/A;2;2;0;1;44;0;1;;-1;1;0;3;90
202 000 000 249,00;3;145;-1;N/A;2;2;0;1;5;950;1;;-1;1;0;1;-1
202 000 000 250,00;3;43;-1;N/A;2;2;0;2;2;5;3;;-1;2;0;3;80
202 000 000 251,00;3;3;-1;N/A;2;2;0;1;51;800;1;;-1;1;0;1;50
202 000 000 252,00;3;908;-1;N/A;2;2;0;1;27;600;3;;-1;2;9;3;90
202 000 000 253,00;3;72;-1;N/A;2;1;0;1;4;600;1;;-1;2;0;1;50
202 000 000 254,00;3;21;0;N/A;2;2;0;1;19;700;1;;-1;1;0;8;50
202 000 000 255,00;3;44;-1;N/A;2;2;0;1;30;800;1;;-1;1;5;1;50
202 000 000 256,00;3;85;0;N/A;2;2;0;2;3;900;1;;-1;1;0;1;50
202 000 000 257,00;3;28;0;D;2;2;0;1;4;100;4;;-1;1;0;1;80
202 000 000 258,00;3;D960;-1;N/A;2;2;0;1;19;400;2;;-1;1;0;3;80
202 000 000 259,00;3;3;0;N/A;2;2;0;2;3;966;1;;-1;1;0;3;80
202 000 000 260,00;2;4;0;N;3;4;0;2;7;400;1;;-1;1;2;3;110
202 000 000 261,00;3;603;-1;N/A;2;2;0;1;19;500;1;;-1;1;5;1;80
202 000 000 262,00;3;906;0;N/A;2;2;0;1;16;400;1;;-1;2;0;1;90
202 000 000 263,00;4;5;-1;N/A;2;2;0;1;-1;-1;4;;-1;1;0;3;80
202 000 000 264,00;3;20;0;N/A;2;2;0;1;5;950;1;;-1;1;0;1;80
202 000 000 265,00;4;N/A;-1;N/A;1;1;0;2;-1;-1;1;;-1;1;0;1;50
202 000 000 266,00;3;D675;-1;N/A;2;2;0;1;31;875;1;;-1;1;0;1;50
202 000 000 267,00;4;3;0;N/A;2;2;0;2;0;350;2;;-1;1;0;1;80
